Time Stamp							a/r			line
2023-11-14 14:41:50.742618			+			l1:this is line 1
2023-11-14 14:41:50.742636			+			l2:this is line 2
2023-11-14 14:41:50.742640			+			l3:this is line 3
2023-11-14 14:42:02.735326			-			l1:this is line 1
2023-11-14 14:42:02.735343			-			l2:this is line 2
2023-11-14 14:42:02.735347			-			l3:this is line 3
2023-11-14 14:42:02.736396			+			l1:this is line 2
2023-11-14 14:42:02.736407			+			l2:this is line 3
2023-11-14 14:42:23.618026			+			l3:this is line 4
2023-11-14 14:42:23.618044			+			l4:this is line 5
2023-11-14 14:42:32.498342			-			l2:this is line 3
2023-11-14 14:42:32.498359			+			l2:this is line 4
2023-11-14 14:42:32.498366			-			l3:this is line 4
2023-11-14 14:42:32.498370			+			l3:this is line 5
2023-11-14 14:42:32.498374			-			l4:this is line 5
